outcome_var,outcome_name,marker1_var,marker1_name,marker2_var,marker2_name,correlation_r,n_samples,n_cases,beta_dir,p_dir,aic_dir,beta_abs,p_abs,aic_abs,best_p,is_directional,best_p_fdr,best_p_bonferroni,survives_fdr,survives_bonferroni
arthritis_binary,Arthritis,systolic_bp,Systolic BP (mmHg),diastolic_bp,Diastolic BP (mmHg),0.4824912016004503,4982,1528.0,-0.2783971784092042,2.982159724624494e-19,6062.83508877133,0.2026982760607371,2.6971559644921394e-06,6124.297845215939,2.982159724624494e-19,1,1.130081579857703e-18,2.1471550017296357e-17,True,True
stroke_binary,Stroke,LBXSCA,Calcium (mg/dL),LBXSAL,Albumin (g/dL),0.5113459502479462,4906,239.0,-0.469125361717797,1.0578708712603283e-14,1857.824836813184,0.3087949151336999,0.000747381698213,1904.154627563771,1.0578708712603283e-14,1,3.808335136537182e-14,7.616670273074364e-13,True,True
high_cholesterol_binary,High Cholesterol,LBXSCA,Calcium (mg/dL),LBXSAL,Albumin (g/dL),0.5113459502479462,5386,1763.0,-0.2228201864709282,2.378091821382344e-14,6755.976830505991,-0.0598758311848377,0.197704366209145,6813.159174115539,2.378091821382344e-14,1,8.153457673310893e-14,1.7122261113952876e-12,True,True
hypertension_binary,Hypertension,LBXGH,"Glycohemoglobin (HbA1c, %)",LBXGLU,Fasting Glucose (mg/dL),0.8441732591799292,2652,945.0,-0.0041600762378241,0.9183460508067736,3458.379656523321,0.4473195041712008,2.8629526843256945e-14,3391.5745412529886,2.8629526843256945e-14,0,9.369663330520454e-14,2.0613259327145e-12,True,True
stroke_binary,Stroke,BMXBMI,Body Mass Index (kg/m2),BMXWAIST,Waist Circumference (cm),0.9328225308747892,4919,223.0,0.5352254699188075,5.139592846569848e-14,1761.284876776222,0.1218139364436027,0.2527427127374875,1818.255144315152,5.139592846569848e-14,1,1.6089160215349089e-13,3.70050684953029e-12,True,True
high_cholesterol_binary,High Cholesterol,systolic_bp,Systolic BP (mmHg),diastolic_bp,Diastolic BP (mmHg),0.4824912016004503,5490,1797.0,-0.1845015805212981,1.1108651334622358e-10,6904.265280139695,0.3031155049486941,5.283067601980942e-13,6892.266240999219,5.283067601980942e-13,0,1.56810611074179e-12,3.8038086734262786e-11,True,True
heart_attack_binary,Heart Attack,LBXSCR,Creatinine Kidney (mg/dL),LBXSBU,BUN Kidney (mg/dL),0.5501150722438025,4904,243.0,0.3799371424528863,5.444812884520104e-13,1891.7173838032909,0.3956503877033686,9.54896925903558e-10,1907.161034326523,5.444812884520104e-13,1,1.56810611074179e-12,3.920265276854475e-11,True,True
high_cholesterol_binary,High Cholesterol,LBXGH,"Glycohemoglobin (HbA1c, %)",LBXGLU,Fasting Glucose (mg/dL),0.8441732591799292,2634,875.0,-0.0298982300563896,0.4724888703513376,3352.464030694347,0.403609058565455,1.7586630864447248e-12,3297.686919572815,1.7586630864447248e-12,0,4.870143931693084e-12,1.2662374222402018e-10,True,True
heart_attack_binary,Heart Attack,systolic_bp,Systolic BP (mmHg),diastolic_bp,Diastolic BP (mmHg),0.4824912016004503,4987,239.0,-0.358796940249482,3.2935709099348925e-12,1880.8158367212056,0.2672556300877964,0.0002445439228561,1911.3317552519263,3.2935709099348925e-12,1,8.78285575982638e-12,2.3713710551531227e-10,True,True
thyroid_binary,Thyroid Problem,systolic_bp,Systolic BP (mmHg),diastolic_bp,Diastolic BP (mmHg),0.4824912016004503,4985,591.0,-0.2454541332777275,4.0149544980114046e-10,3596.5772014145505,0.2482528720304208,3.3533865603215467e-06,3613.879691813841,4.0149544980114046e-10,1,1.0324168709172183e-09,2.8907672385682114e-08,True,True
thyroid_binary,Thyroid Problem,LBXSCA,Calcium (mg/dL),LBXSAL,Albumin (g/dL),0.5113459502479462,4900,598.0,-0.2616425763570572,6.154754971519068e-10,3601.868717221477,0.1166861968537643,0.0781153418574317,3636.4995206329286,6.154754971519068e-10,1,1.5280770963771477e-09,4.4314235794937285e-08,True,True
thyroid_binary,Thyroid Problem,LBXSCR,Creatinine Kidney (mg/dL),LBXSBU,BUN Kidney (mg/dL),0.5501150722438025,4900,598.0,0.2426336000237699,1.1282938905931367e-09,3604.138721308071,0.1968215567956457,0.0002711335553705,3627.389736466504,1.1282938905931367e-09,1,2.707905337423528e-09,8.123716012270584e-08,True,True
diabetes_binary,Diabetes,systolic_bp,Systolic BP (mmHg),diastolic_bp,Diastolic BP (mmHg),0.4824912016004503,6710,811.0,-0.2008164474943819,1.4903270536477642e-09,4917.170937296096,0.0178921899286097,0.7335798091795089,4951.083454190817,1.4903270536477642e-09,1,3.4614047697625487e-09,1.0730354786263902e-07,True,True
stroke_binary,Stroke,LBXSCR,Creatinine Kidney (mg/dL),LBXSBU,BUN Kidney (mg/dL),0.5501150722438025,4906,239.0,0.2921078803861939,9.314499027990713e-08,1889.3170958307776,0.3759765537003354,1.0098526133780011e-08,1887.599623132017,1.0098526133780011e-08,0,2.2721683801005026e-08,7.270938816321607e-07,True,True
hypertension_binary,Hypertension,LBXTC,Total Cholesterol (mg/dL),LBDLDL,LDL Cholesterol (mg/dL),0.9305272055401838,2582,919.0,-0.2332391653553857,1.813488016827076e-08,3333.667793204455,0.1143770263712035,0.0663254381152152,3362.6089170423065,1.813488016827076e-08,1,3.956701127622711e-08,1.3057113721154946e-06,True,True
arthritis_binary,Arthritis,LBXGH,"Glycohemoglobin (HbA1c, %)",LBXGLU,Fasting Glucose (mg/dL),0.8441732591799292,2424,767.0,0.0467117561638935,0.2823622258301033,3028.6818511691413,0.3105372343967118,4.3031382381286514e-08,2998.408650225343,4.3031382381286514e-08,0,9.112528033684203e-08,3.098259531452629e-06,True,True
arthritis_binary,Arthritis,LBXTC,Total Cholesterol (mg/dL),LBDLDL,LDL Cholesterol (mg/dL),0.9305272055401838,2361,748.0,-0.2287185674451844,2.1382472188894466e-07,2925.4162108151204,-0.0124313129208062,0.8554734837111946,2952.5973261077306,2.1382472188894466e-07,1,4.3986799931440045e-07,1.5395379976004014e-05,True,True
heart_attack_binary,Heart Attack,LBXGH,"Glycohemoglobin (HbA1c, %)",LBXGLU,Fasting Glucose (mg/dL),0.8441732591799292,2425,127.0,0.0874645086367843,0.3139990178287438,999.3990103260776,0.3823109930053802,6.618730228840406e-07,980.5522811262658,6.618730228840406e-07,0,1.3237460457680812e-06,4.7654857647650925e-05,True,True
liver_condition_binary,Liver Condition,BMXBMI,Body Mass Index (kg/m2),BMXWAIST,Waist Circumference (cm),0.9328225308747892,4914,262.0,0.297421534782405,4.333126964834416e-06,2028.5050149352328,-0.0148549815777196,0.8867281482599818,2049.860964345988,4.333126964834416e-06,1,8.432030850488593e-06,0.0003119851414680779,True,True
diabetes_binary,Diabetes,LBXTC,Total Cholesterol (mg/dL),LBDLDL,LDL Cholesterol (mg/dL),0.9305272055401838,2806,403.0,-0.2310673992597699,4.850622153571576e-06,2292.991157945929,-0.0752687632894463,0.3833069728953435,2312.457110091776,4.850622153571576e-06,1,9.190652501504039e-06,0.0003492447950571535,True,True
liver_condition_binary,Liver Condition,LBXSATSI,ALT Liver Enzyme (U/L),LBXSASSI,AST Liver Enzyme (U/L),0.7640238433648419,4887,269.0,0.1343333097483244,0.0015206496330925,2078.7544090464,0.1992979953270381,5.894905302672335e-06,2069.316325626156,5.894905302672335e-06,0,1.0882902097241235e-05,0.0004244331817924081,True,True
heart_attack_binary,Heart Attack,systolic_bp,Systolic BP (mmHg),BMXWAIST,Waist Circumference (cm),0.4102883756778136,4750,222.0,0.2887141278593398,8.298410318999038e-06,1778.3610397906734,-0.0512626844590689,0.6543190531084031,1797.3270230399494,8.298410318999038e-06,1,1.4937138574198267e-05,0.0005974855429679307,True,True
stroke_binary,Stroke,systolic_bp,Systolic BP (mmHg),diastolic_bp,Diastolic BP (mmHg),0.4824912016004503,4987,239.0,-0.2394532671677637,1.5965403920654343e-05,1906.064762386948,0.1976907523453401,0.0115463938419188,1917.0247137331337,1.5965403920654343e-05,1,2.8036806885051532e-05,0.0011495090822871128,True,True
high_cholesterol_binary,High Cholesterol,LBXTC,Total Cholesterol (mg/dL),LBDLDL,LDL Cholesterol (mg/dL),0.9305272055401838,2565,848.0,-0.1681830609396353,5.464622220050214e-05,3243.2009168603063,0.1190813955463961,0.0599068555533142,3256.020966720445,5.464622220050214e-05,1,9.367923805800366e-05,0.003934527998436154,True,True
liver_condition_binary,Liver Condition,LBXSCR,Creatinine Kidney (mg/dL),LBXSBU,BUN Kidney (mg/dL),0.5501150722438025,4899,270.0,0.2003197048072624,0.0002677163133236,2081.8103698140903,0.170745744797462,0.0224171550679002,2089.353347974542,0.0002677163133236,1,0.00044826917579765584,0.0192755745592992,True,True
stroke_binary,Stroke,LBXGH,"Glycohemoglobin (HbA1c, %)",LBXGLU,Fasting Glucose (mg/dL),0.8441732591799292,2429,115.0,-0.0456161994515424,0.6381377557092878,929.8139009090492,0.2822394404029263,0.0010813726301639,921.4527517226816,0.0010813726301639,0,0.001769518849359109,0.0778588293718008,True,False
heart_attack_binary,Heart Attack,LBXSCA,Calcium (mg/dL),LBXSAL,Albumin (g/dL),0.5113459502479462,4904,243.0,-0.2044110291552558,0.0012014027652384,1927.864704238394,0.1519390377263514,0.1186101105927462,1935.730957069972,0.0012014027652384,1,0.0019222444243814402,0.0865009990971648,True,False
thyroid_binary,Thyroid Problem,LBXTC,Total Cholesterol (mg/dL),LBDLDL,LDL Cholesterol (mg/dL),0.9305272055401838,2361,304.0,-0.1847576985361168,0.0013618134637006,1807.464006700072,-0.1770771552966345,0.0890992913280639,1814.265663069638,0.0013618134637006,1,0.0021315341170965916,0.0980505693864432,True,False
stroke_binary,Stroke,LBXTC,Total Cholesterol (mg/dL),LBDLDL,LDL Cholesterol (mg/dL),0.9305272055401838,2365,111.0,-0.2511009775083143,0.0031262213098656,891.823769582764,0.2809530250197599,0.0188481336978729,895.0322104918644,0.0031262213098656,1,0.004789104985326025,0.2250879343103232,True,False
arthritis_binary,Arthritis,LBXSATSI,ALT Liver Enzyme (U/L),LBXSASSI,AST Liver Enzyme (U/L),0.7640238433648419,4888,1519.0,0.0853213586713978,0.0047578864492217,6054.189076744468,-0.100831833773532,0.022850412235421,6056.257153752271,0.0047578864492217,1,0.0071368296738325504,0.3425678243439624,True,False
depression_binary,Depression,LBXSCA,Calcium (mg/dL),LBXSAL,Albumin (g/dL),0.5113459502479462,790,410.0,-0.1922828900862553,0.0082457856718602,1090.909238891528,-0.194339563630627,0.0811377749601439,1094.953474299157,0.0082457856718602,1,0.012116256497427232,0.5936965683739344,True,False
liver_condition_binary,Liver Condition,LBXGH,"Glycohemoglobin (HbA1c, %)",LBXGLU,Fasting Glucose (mg/dL),0.8441732591799292,2423,135.0,0.2004669355114569,0.0097914012800013,1039.9067655566091,0.1571060611300124,0.0945601784716541,1043.5115227059723,0.0097914012800013,1,0.014080062593206023,0.7049808921600936,True,False
thyroid_binary,Thyroid Problem,BMXBMI,Body Mass Index (kg/m2),BMXWAIST,Waist Circumference (cm),0.9328225308747892,4916,573.0,0.1154970571120401,0.0099733776701876,3536.9481177625385,0.0903891182725007,0.1998498589262052,3542.015205678348,0.0099733776701876,1,0.014080062593206023,0.7180831922535073,True,False
thyroid_binary,Thyroid Problem,LBXSATSI,ALT Liver Enzyme (U/L),LBXSASSI,AST Liver Enzyme (U/L),0.7640238433648419,4888,597.0,0.0673015432419679,0.072042309178113,3629.501291991367,-0.2124807811088552,0.0101716414627631,3623.715528065157,0.0101716414627631,0,0.014083811256133524,0.7323581853189433,True,False
diabetes_binary,Diabetes,LBXSATSI,ALT Liver Enzyme (U/L),LBXSASSI,AST Liver Enzyme (U/L),0.7640238433648419,5878,800.0,-0.1202583320607852,0.012181264768536,4673.603512935855,0.020458172359882,0.6220213667313572,4680.556375206354,0.012181264768536,1,0.016548133270463998,0.8770510633345919,True,False
hypertension_binary,Hypertension,LBXSATSI,ALT Liver Enzyme (U/L),LBXSASSI,AST Liver Enzyme (U/L),0.7640238433648419,5393,1895.0,0.0698793294555765,0.0132202052150867,6990.325965526756,0.0431956657106534,0.1791150558484083,6994.751338197028,0.0132202052150867,1,0.01762694028678227,0.9518547754862424,True,False
liver_condition_binary,Liver Condition,systolic_bp,Systolic BP (mmHg),BMXWAIST,Waist Circumference (cm),0.4102883756778136,4745,252.0,0.150983074449143,0.0159426968913872,1968.135469878708,0.0007153045892515,0.9946155689128924,1973.8236632629696,0.0159426968913872,1,0.02087043956690688,1.0,True,False
liver_condition_binary,Liver Condition,LBXSCA,Calcium (mg/dL),LBXSAL,Albumin (g/dL),0.5113459502479462,4899,270.0,-0.1420752077266649,0.0197662408810894,2088.619877708027,0.0273700917041286,0.7801941177942794,2093.8777521576526,0.0197662408810894,1,0.02541373827568637,1.0,True,False
high_cholesterol_binary,High Cholesterol,LBXSATSI,ALT Liver Enzyme (U/L),LBXSASSI,AST Liver Enzyme (U/L),0.7640238433648419,5371,1758.0,-0.0569291775406942,0.0720877008365114,6792.291826456001,-0.089068133958631,0.0270185684239453,6790.156989056743,0.0270185684239453,0,0.03391900272298515,1.0,True,False
stroke_binary,Stroke,LBXSATSI,ALT Liver Enzyme (U/L),LBXSASSI,AST Liver Enzyme (U/L),0.7640238433648419,4894,239.0,0.1038510736323163,0.0273236410824047,1909.4241670355752,-0.098870950208642,0.344505415014018,1912.2811594976763,0.0273236410824047,1,0.03391900272298515,1.0,True,False
stroke_binary,Stroke,systolic_bp,Systolic BP (mmHg),BMXWAIST,Waist Circumference (cm),0.4102883756778136,4750,216.0,0.1417881116668835,0.0356651737924545,1756.8489738832172,0.1101660121938988,0.3184722677162708,1760.2006890326093,0.0356651737924545,1,0.04352360191621566,1.0,True,False
depression_binary,Depression,systolic_bp,Systolic BP (mmHg),BMXWAIST,Waist Circumference (cm),0.4102883756778136,772,392.0,0.1485934683105396,0.0408767818721905,1069.8156224060908,0.1178330778631759,0.3228205302459941,1073.0524222069685,0.0408767818721905,1,0.0490521382466286,1.0,True,False
depression_binary,Depression,BMXBMI,Body Mass Index (kg/m2),BMXWAIST,Waist Circumference (cm),0.9328225308747892,793,403.0,0.1431596786033176,0.0455735760038006,1099.0912192512742,0.016302638751753,0.8902370965637327,1103.0992570481924,0.0455735760038006,1,0.05379176184055153,1.0,False,False
