outcome,marker1,marker2,anomaly_type,n11_d,n11_v,p00_d,p10_d,p01_d,p11_d,p00_v,p10_v,p01_v,p11_v,or_d,or_l_d,or_u_d,or_v,or_l_v,or_u_v,beta1_d,beta2_d,beta3_d,p3_d,beta1_v,beta2_v,beta3_v,p3_v,beta_med_int_d,p_med_int_d,beta_med_int_v,p_med_int_v
statin_associated_diabetes,BMXBMI,LBXWBCSI,High-High,41,25,0.3893129770992366,0.58,0.4697986577181208,0.6341463414634146,0.3079896907216495,0.5869565217391305,0.36764705882352944,0.56,2.681053324555629,1.1639105623652488,6.175772573541692,2.831357048748353,1.0138618901485659,7.906977089672712,0.7529453602676054,0.3382269410675831,-0.10854015920414595,0.7887087728388549,1.1379001906964907,0.2607199171051243,-0.3710956090275966,0.4362101945866361,0.11923969565044662,0.7626761228701815,-0.10639815343072069,0.8297284131691465
statin_associated_diabetes,BMXBMI,LBXWBCSI,Low-Low,23,32,0.4446564885496183,0.25595238095238093,0.3288590604026846,0.17391304347826086,0.3579920739762219,0.18831168831168832,0.31125827814569534,0.15625,0.28817287073184145,0.07444405925908452,1.1155168626259007,0.35852534562211985,0.10678943629415683,1.2036810747777478,-0.7975805642430892,-0.49198571259630514,-0.0455190492210036,0.9402513812204789,-0.8735865541455067,-0.2141349095852722,-0.021214632950129153,0.9697835886384535,-0.7657200998567386,0.2218260865089694,-0.21947529894598847,0.7040918176476463
statin_associated_diabetes,BMXBMI,LBXSAPSI,Low-Low,26,34,0.43024010382868266,0.24539877300613497,0.45098039215686275,0.2692307692307692,0.33967582804792107,0.2,0.40611353711790393,0.08823529411764706,0.509245840820822,0.16703473014485004,1.552559316068088,0.21588946459412778,0.05020910971203314,0.9282829588107392,-0.8073237768288821,0.08266361373608858,0.0963776685545857,0.8500433885218452,-0.7101777529013438,0.30421573742528296,-1.2811627753946955,0.051001729131997985,0.6808375052101423,0.287222681967535,-0.4425091321290359,0.5401689324340333
statin_associated_diabetes,BMXWAIST,LBDHDD,High-Low,30,37,0.363758389261745,0.5838926174496645,0.624113475177305,0.7333333333333333,0.3091286307053942,0.5555555555555556,0.34415584415584416,0.5405405405405406,4.6280834914611,1.6254768361461316,13.17715289915652,2.6164086193136473,1.1170757753229714,6.128137602160008,0.8323323367648852,0.9827862192485203,-0.41448313032041245,0.38939869132529903,1.0272084081195363,0.18758638251065887,-0.19094660756041668,0.6470329813386815,-0.025548365985030463,0.959135741451723,-0.5156467736096373,0.23698984093492015
statin_associated_diabetes,BMXWAIST,LBDHDD,Low-High,47,36,0.4372093023255814,0.2900763358778626,0.25984251968503935,0.2127659574468085,0.3538149898717083,0.174496644295302,0.3402061855670103,0.19444444444444445,0.36036446469248296,0.14515595237571935,0.8946415581840259,0.4641224087508684,0.16036717803734699,1.3432275415767603,-0.6037238361456448,-0.7063195898393552,0.3572313069934812,0.43485816372023933,-1.017789755062656,-0.1094004972039391,0.23732366695169585,0.6502355173055273,0.32965803089961376,0.4981285687864474,0.12652843675097886,0.8062868564457553
statin_associated_diabetes,BMXWAIST,LBXHSCRP,High-High,48,41,0.3731543624161074,0.6153846153846154,0.5303030303030303,0.5833333333333334,0.3100828729281768,0.5609756097560976,0.34810126582278483,0.5365853658536586,2.3345605154164746,1.0932662985604797,4.9852198017243925,2.565671258663472,1.1409924435108467,5.7692485563505205,0.8954778415351383,0.6291323018010659,-0.7501832297534387,0.05572931930359898,1.0614798835915862,0.1327033808560496,-0.2878013816749882,0.4757426950257312,-0.3218524969504455,0.36526182251673844,-0.09958745940414794,0.7950578592884149
statin_associated_diabetes,BMXWAIST,LBXHSCRP,Low-Low,48,51,0.425503355704698,0.2727272727272727,0.38461538461538464,0.2916666666666667,0.3570934256055363,0.15441176470588236,0.3333333333333333,0.23529411764705882,0.5673416246959263,0.2505189699048594,1.2848389055521572,0.569497714656831,0.2439366676809086,1.3295567660356966,-0.6157983108507397,-0.21162559078781085,0.27551188697991713,0.5117282118018209,-1.1706119558549648,-0.04767903235460933,0.580988979070317,0.19580620451304842,1.0684843743106707,0.019776664784910563,0.9620133874515155,0.02314949209915691
statin_associated_diabetes,BMXWAIST,LBXPLTSI,High-High,27,23,0.37877770315648085,0.6153846153846154,0.46153846153846156,0.6666666666666666,0.31379556826304505,0.5664335664335665,0.3142857142857143,0.5652173913043478,3.192718288191693,1.1314629153834903,9.00908896717909,2.809848854217455,0.9635207909116257,8.194167326765346,0.8715341784399723,0.37720549662508984,-0.06160103461113764,0.8966499304860103,1.059022786547431,-0.04913898248237604,-0.03511499433800426,0.941866600053964,0.4016650168837263,0.406337939992499,-0.1599208466647875,0.7489277146149117
statin_associated_diabetes,BMXWAIST,LBXSAL,High-Low,22,22,0.3801054018445323,0.5897435897435898,0.48148148148148145,0.7272727272727273,0.3014944769330734,0.5285714285714286,0.5660377358490566,0.7272727272727273,4.138461538461538,1.2456525327566552,13.749310867151154,5.877535811873809,1.7676922489385307,19.542670530236848,0.7489878006228411,0.47774688662024617,0.22225849209079307,0.6839796444775887,0.9604725239589793,1.103952723934092,-0.29519370398812167,0.6122990102089927,-0.11314573534754775,0.838170522680226,0.34387635668607147,0.5590858533606593
statin_associated_diabetes,BMXWAIST,LBXSCR,High-High,21,27,0.37006802721088433,0.5859872611464968,0.5448717948717948,0.7619047619047619,0.2939541348158443,0.5481481481481482,0.46405228758169936,0.5925925925925926,5.104683195592287,1.4250668223447547,18.285311340339614,3.4438170525127045,1.2660301094897024,9.367767640184828,0.766759635292494,0.7291525580434777,0.1486361783523761,0.7925613124269759,1.0725494881850932,0.8443365778548453,-0.6097024307642718,0.1882370125836864,0.20117354852321434,0.7716084917256093,-1.7174066535465633,0.012403567721431868
statin_associated_diabetes,BMXWAIST,LBXSUA,High-High,37,37,0.3855421686746988,0.6099290780141844,0.40458015267175573,0.5945945945945946,0.30401662049861494,0.584,0.3741496598639456,0.4594594594594595,2.3127605405254177,0.9774378305009077,5.4723289307006775,1.9530231138488858,0.833730504304764,4.574978681400998,0.8143728473541035,0.03552436763223841,-0.08291221270285391,0.8442828714170111,1.168061868314577,0.3553655763455756,-0.827818657894318,0.04765701087455829,-0.15220924423527818,0.7336400852152667,-0.37195659540414255,0.440907412616954
