outcome_var,outcome_name,marker1_var,marker1_name,marker2_var,marker2_name,combination_type,n_samples,n_cases,beta_comp,p_comp,aic_comp,beta_A,p_A,aic_A,beta_B,p_B,aic_B,p_gain,aic_gain,p_comp_fdr,p_comp_bonferroni,survives_fdr,survives_bonferroni
liver_condition_binary,Liver Condition,LBXGH,"Glycohemoglobin (HbA1c, %)",LBXSCA,Calcium (mg/dL),Difference,4895,270.0,0.1731767007023944,0.0006151500060882,2083.262410298756,0.1673857407438891,0.0007309212042005,2083.6530847479758,-0.0350980967221168,0.5752162784609941,2093.1872823636127,1.1881999463002235,0.3906744492192047,0.002168283311276945,1.0,True,False
liver_condition_binary,Liver Condition,LBXSCA,Calcium (mg/dL),LBXGH,"Glycohemoglobin (HbA1c, %)",Difference,4895,270.0,-0.1731767007023944,0.0006151500060882,2083.262410298756,-0.0350980967221168,0.5752162784609941,2093.1872823636127,0.1673857407438891,0.0007309212042005,2083.6530847479758,1.1881999463002235,0.3906744492192047,0.002168283311276945,1.0,True,False
stroke_binary,Stroke,LBXSKSI,Potassium (mmol/L),LBXSATSI,ALT Liver Enzyme (U/L),Difference,4905,239.0,0.3640893340628091,0.0004997072233826,1898.585426973475,0.1061485957999952,0.1022661427696481,1911.827950577884,-0.3580556406924748,0.0005749176132766,1898.9745177247687,1.1505089107674284,0.3890907512936792,0.0017741084853820119,1.0,True,False
stroke_binary,Stroke,LBXSATSI,ALT Liver Enzyme (U/L),LBXSKSI,Potassium (mmol/L),Difference,4905,239.0,-0.3640893340628091,0.0004997072233826,1898.585426973475,-0.3580556406924748,0.0005749176132766,1898.9745177247687,0.1061485957999952,0.1022661427696481,1911.827950577884,1.1505089107674284,0.3890907512936792,0.0017741084853820119,1.0,True,False
hypertension_binary,Hypertension,LBXPLTSI,Platelet Count (10^3/uL),LBXSNASI,Sodium (mmol/L),Difference,5408,1900.0,-0.129641736730311,8.97707874515025e-06,6995.560614603977,-0.128369999097973,1.094803579034735e-05,6995.949669733793,0.0338307833007774,0.2357708886917727,7014.247426579992,1.2195543897018708,0.3890551298154605,3.890547770771376e-05,0.04847622522381135,True,True
hypertension_binary,Hypertension,LBXSNASI,Sodium (mmol/L),LBXPLTSI,Platelet Count (10^3/uL),Difference,5408,1900.0,0.129641736730311,8.97707874515025e-06,6995.560614603977,0.0338307833007774,0.2357708886917727,7014.247426579992,-0.128369999097973,1.094803579034735e-05,6995.949669733793,1.2195543897018708,0.3890551298154605,3.890547770771376e-05,0.04847622522381135,True,True
stroke_binary,Stroke,LBXGLU,Fasting Glucose (mg/dL),LBXSASSI,AST Liver Enzyme (U/L),Ratio,2374,114.0,0.1782204810331039,0.0149189060421735,913.6899241908797,0.1698132268710074,0.0193142308438808,914.0754826433184,-0.0818841838189363,0.4883781808538553,918.1270944050189,1.2946144167194522,0.3855584524387723,0.04408145783849659,1.0,True,False
diabetes_binary,Diabetes,LBXHSCRP,hs-CRP Inflammation (mg/L),LBXSCA,Calcium (mg/dL),Ratio,5881,797.0,0.2491224273411512,9.741611275882957e-16,4603.864045351755,0.2502685929711799,1.3295561246766336e-15,4604.242024577408,-0.0590075221501382,0.1214846268557343,4668.163948395793,1.3648215752235768,0.3779792256536893,1.0355256080662986e-14,5.260470088976796e-12,True,True
heart_attack_binary,Heart Attack,LBXSNASI,Sodium (mmol/L),BMXWAIST,Waist Circumference (cm),Difference,4649,217.0,-0.3568915127795001,4.3007651401672673e-08,1728.8024481473649,-0.0474984360538256,0.4919263139336586,1757.2367911589008,0.3544314462478898,5.2393371809345e-08,1729.177631649497,1.2182337352024597,0.3751835021321312,2.3062692906557342e-07,0.00023224131756903243,True,True
heart_attack_binary,Heart Attack,BMXWAIST,Waist Circumference (cm),LBXSNASI,Sodium (mmol/L),Difference,4649,217.0,0.3568915127795001,4.3007651401672673e-08,1728.8024481473649,0.3544314462478898,5.2393371809345e-08,1729.177631649497,-0.0474984360538256,0.4919263139336586,1757.2367911589008,1.2182337352024597,0.3751835021321312,2.3062692906557342e-07,0.00023224131756903243,True,True
