outcome_var,outcome_name,marker1_var,marker1_name,marker2_var,marker2_name,correlation_r,n_samples,n_cases,beta_dir,p_dir,aic_dir,beta_abs,p_abs,aic_abs,best_p,is_directional
stroke_binary,Stroke,LBXTC,Total Cholesterol (mg/dL),LBDLDL,LDL Cholesterol (mg/dL),0.9305272055401838,2365,111.0,-0.2511009775083143,0.003126221309865616,891.823769582764,0.2809530250197599,0.018848133697872985,895.0322104918644,0.003126221309865616,1
arthritis_binary,Arthritis,LBXSATSI,ALT Liver Enzyme (U/L),LBXSASSI,AST Liver Enzyme (U/L),0.7640238433648419,4888,1519.0,0.08532135867139783,0.004757886449221761,6054.189076744468,-0.10083183377353205,0.02285041223542107,6056.257153752271,0.004757886449221761,1
depression_binary,Depression,LBXSCA,Calcium (mg/dL),LBXSAL,Albumin (g/dL),0.5113459502479462,790,410.0,-0.19228289008625535,0.008245785671860288,1090.909238891528,-0.194339563630627,0.08113777496014399,1094.953474299157,0.008245785671860288,1
liver_condition_binary,Liver Condition,LBXGH,"Glycohemoglobin (HbA1c, %)",LBXGLU,Fasting Glucose (mg/dL),0.8441732591799292,2423,135.0,0.20046693551145697,0.009791401280001394,1039.9067655566093,0.15710606113001246,0.0945601784716541,1043.5115227059725,0.009791401280001394,1
thyroid_binary,Thyroid Problem,BMXBMI,Body Mass Index (kg/m2),BMXWAIST,Waist Circumference (cm),0.9328225308747892,4916,573.0,0.11549705711204013,0.009973377670187682,3536.9481177625385,0.09038911827250071,0.19984985892620521,3542.015205678348,0.009973377670187682,1
thyroid_binary,Thyroid Problem,LBXSATSI,ALT Liver Enzyme (U/L),LBXSASSI,AST Liver Enzyme (U/L),0.7640238433648419,4888,597.0,0.06730154324196796,0.07204230917811304,3629.5012919913665,-0.21248078110885527,0.010171641462763172,3623.715528065157,0.010171641462763172,0
diabetes_binary,Diabetes,LBXSATSI,ALT Liver Enzyme (U/L),LBXSASSI,AST Liver Enzyme (U/L),0.7640238433648419,5878,800.0,-0.12025833206078526,0.012181264768536017,4673.603512935855,0.02045817235988202,0.6220213667313572,4680.556375206354,0.012181264768536017,1
hypertension_binary,Hypertension,LBXSATSI,ALT Liver Enzyme (U/L),LBXSASSI,AST Liver Enzyme (U/L),0.7640238433648419,5393,1895.0,0.06987932945557651,0.013220205215086704,6990.325965526756,0.043195665710653426,0.17911505584840837,6994.7513381970275,0.013220205215086704,1
liver_condition_binary,Liver Condition,systolic_bp,Systolic BP (mmHg),BMXWAIST,Waist Circumference (cm),0.4102883756778136,4745,252.0,0.15098307444914302,0.01594269689138724,1968.1354698787077,0.00071530458925158,0.9946155689128923,1973.8236632629696,0.01594269689138724,1
liver_condition_binary,Liver Condition,LBXSCA,Calcium (mg/dL),LBXSAL,Albumin (g/dL),0.5113459502479462,4899,270.0,-0.14207520772666493,0.019766240881089452,2088.619877708027,0.027370091704128692,0.7801941177942794,2093.8777521576526,0.019766240881089452,1
high_cholesterol_binary,High Cholesterol,LBXSATSI,ALT Liver Enzyme (U/L),LBXSASSI,AST Liver Enzyme (U/L),0.7640238433648419,5371,1758.0,-0.05692917754069426,0.07208770083651148,6792.291826456001,-0.08906813395863108,0.027018568423945365,6790.1569890567425,0.027018568423945365,0
stroke_binary,Stroke,LBXSATSI,ALT Liver Enzyme (U/L),LBXSASSI,AST Liver Enzyme (U/L),0.7640238433648419,4894,239.0,0.10385107363231634,0.027323641082404725,1909.4241670355752,-0.09887095020864203,0.344505415014018,1912.2811594976763,0.027323641082404725,1
stroke_binary,Stroke,systolic_bp,Systolic BP (mmHg),BMXWAIST,Waist Circumference (cm),0.4102883756778136,4750,216.0,0.14178811166688354,0.035665173792454576,1756.8489738832172,0.1101660121938988,0.3184722677162708,1760.2006890326093,0.035665173792454576,1
depression_binary,Depression,systolic_bp,Systolic BP (mmHg),BMXWAIST,Waist Circumference (cm),0.4102883756778136,772,392.0,0.14859346831053963,0.04087678187219059,1069.8156224060908,0.11783307786317594,0.3228205302459941,1073.0524222069685,0.04087678187219059,1
depression_binary,Depression,BMXBMI,Body Mass Index (kg/m2),BMXWAIST,Waist Circumference (cm),0.9328225308747892,793,403.0,0.14315967860331769,0.04557357600380062,1099.0912192512742,0.016302638751753064,0.8902370965637327,1103.0992570481924,0.04557357600380062,1
