outcome,marker1,marker2,anomaly_type,xor_type,p00_d,p10_d,p01_d,p11_d,p00_v,p10_v,p01_v,p11_v,n11_d,n11_v
diabetes_outcome,DR1TPROT,LBXSUA,High-Low,Low Risk Mismatch,0.18792036588646757,0.14018691588785046,0.13126491646778043,0.1746031746031746,0.13507246376811594,0.09424520433694746,0.10053380782918149,0.15151515151515152,63,66
diabetes_outcome,LBXSUA,LBXHGB,Low-High,Low Risk Mismatch,0.1901651940069151,0.13043478260869565,0.13829787234042554,0.4117647058823529,0.13725678136681682,0.0989282769991756,0.09221713538260301,0.3684210526315789,17,19
depression_outcome,DR1TKCAL,DR1TSODI,High-High,Low Risk Mismatch,0.08474169962843102,0.07556675062972293,0.07035175879396985,0.09424083769633508,0.09764996244232214,0.08447937131630648,0.06301369863013699,0.09595959595959595,573,594
