outcome,varA,typeA,varB,typeB,varC,typeC,N111_disc,rate111_disc,or_disc,lower99_disc,N111_val,rate111_val,or_val,lower99_val
hypertension_binary,LBXGH,high,LBXHSCRP,high,LBXPLTSI,high,41,0.6829268292682927,4.425169823095941,1.8846144377510772,45,0.6444444444444445,4.497282198854964,2.0324512977405473
high_cholesterol_binary,LBXGH,high,LBXSCR,high,LBXSKSI,high,64,0.609375,3.6503667702945477,1.891020946777853,51,0.7647058823529411,4.524321628921671,1.9555957366447476
stroke_binary,LBXSCR,high,LBXHSCRP,high,LBXHGB,low,44,0.22727272727272727,9.192136278102407,3.645114140394756,37,0.13513513513513514,6.301588434767089,1.8961831766319546
diabetes_binary,LBXSCR,high,LBXSCA,low,LBXHGB,low,32,0.78125,22.391053984575837,7.651870298741701,30,0.3,4.9899974993748435,1.821763253605033
depression_binary,BMXWAIST,high,LBXGH,high,LBXHSCRP,high,66,0.24242424242424243,4.067620858585386,1.941329584408828,57,0.2631578947368421,3.86545981173063,1.7875912845266853
heart_attack_binary,LBXSCR,high,LBXSCA,low,LBXHGB,low,32,0.25,8.647817722282998,3.0633223872949475,30,0.16666666666666666,6.051611449177372,1.785959254350714
arthritis_binary,LBXSCR,high,LBXSKSI,high,LBXHGB,low,63,0.6507936507936508,4.982517170635982,2.5292745580538667,55,0.5454545454545454,3.4865564584413913,1.7415576928980965
diabetes_binary,BMXWAIST,high,LBXHSCRP,high,LBXWBCSI,high,85,0.3176470588235294,3.440258154543869,1.882523009604829,84,0.20238095238095238,3.4349083677942738,1.7103658607666217
arthritis_binary,BMXWAIST,high,LBXGH,high,LBXHSCRP,high,66,0.5757575757575758,3.993845979252748,2.104586237065771,59,0.5084745762711864,3.1249456226773114,1.6015419664611275
stroke_binary,LBXSCR,high,LBXSCA,low,LBXHGB,low,32,0.34375,15.3374797187669,5.893789696199353,30,0.13333333333333333,5.926173982930843,1.5769260553871443
depression_binary,LBXHSCRP,high,LBXWBCSI,high,LBXPLTSI,high,75,0.24,3.9387703987790084,1.9601141854853348,91,0.2087912087912088,2.9309915470280425,1.5063405459925185
depression_binary,BMXWAIST,high,LBXHSCRP,high,LBXWBCSI,high,85,0.23529411764705882,4.003990116900837,2.0644176566119814,73,0.2191780821917808,3.112144819783417,1.5044616567036995
