outcome,marker1,marker2,anomaly_type,xor_type,p00_d,p10_d,p01_d,p11_d,p00_v,p10_v,p01_v,p11_v,n11_d,n11_v
diabetes_outcome,LBXSUA,LBXHGB,Low-High,Low Risk Mismatch,0.20316622691292877,0.1372891215823153,0.13301942319011184,0.3181818181818182,0.15459060231758565,0.08628595248020009,0.08770668583752696,0.21875,110,160
diabetes_outcome,LBXSCR,LBXHGB,Low-High,Low Risk Mismatch,0.19654140339208515,0.16130851663846588,0.1336835960303561,0.3333333333333333,0.15271582261873523,0.09768148992778411,0.08788853161843516,0.23448275862068965,96,145
