outcome_name,marker1_name,marker2_name,anomaly_type,gate,n_samples,n11,n10,n01,n00,p00,p10,p01,p11,age00,age10,age01,age11,or10,or01,or11,beta1,p1,beta2,p2,beta3_adjusted,p3_adjusted,beta_age,p_age,beta_sex,p_sex,p3_fdr,p3_bonferroni,survives_fdr,survives_bonferroni
High Cholesterol,Insulin (uIU/mL),ALT Liver Enzyme (U/L),High-High,XOR,2576,64,194,187,2131,0.3196,0.4124,0.4332,0.3125,48.9,48.1,46.1,42.5,1.496,1.629,0.98,0.546,0.001394681336030568,0.8095,2.827893177282657e-06,-0.9633,0.010378264607912755,0.0559,2.5208149402841386e-88,0.062,0.5100699113639062,1.0,1.0,False,False
Stroke,Systolic BP (mmHg),Total Cholesterol (mg/dL),TwoSided-TwoSided,OR,4694,193,692,738,3071,0.0374,0.0737,0.0637,0.0518,50.8,52.0,53.2,56.3,2.055,1.758,1.465,0.614,0.0006345672407498625,0.4463,0.01416582765926608,-1.038,0.010439972671130858,0.0543,1.3385581703239401e-27,0.0331,0.8158472757490207,1.0,1.0,False,False
Thyroid Problem,Fasting Glucose (mg/dL),Potassium (mmol/L),Low-High,AND,2378,10,219,153,1996,0.1328,0.0822,0.1307,0.4,51.9,39.9,60.4,60.7,0.599,1.001,4.515,-0.2577,0.33634562515801036,-0.043,0.8708996476254818,2.0208,0.01050132984444496,0.0391,2.5270574947544804e-21,1.3869,5.746986665413907e-21,1.0,1.0,False,False
Hypertension,Creatinine Kidney (mg/dL),Uric Acid (mg/dL),High-High,OR,5408,151,375,359,4523,0.3038,0.6187,0.5097,0.7351,46.6,61.9,48.7,65.9,3.713,2.382,6.308,0.7644,2.0850038142222962e-09,1.0201,1.1129064402899599e-15,-0.67,0.010898680758074075,0.0579,2.9446416420516147e-187,0.1441,0.03477958893527008,1.0,1.0,False,False
Diabetes,ALT Liver Enzyme (U/L),hs-CRP Inflammation (mg/L),TwoSided-TwoSided,XOR,5882,267,846,895,3874,0.1347,0.1371,0.1475,0.1011,48.2,41.6,40.3,35.7,1.023,1.113,0.734,0.3963,0.0009720038781920679,0.5213,6.803179764217311e-06,-0.6926,0.011019645133533266,0.0575,2.805904758881331e-116,-0.3494,2.0945976818848082e-05,1.0,1.0,False,False
Hypertension,ALT Liver Enzyme (U/L),Alkaline Phosphatase (U/L),High-Low,AND,5409,23,503,469,4414,0.3595,0.3579,0.2559,0.5652,49.3,43.4,44.4,45.0,0.994,0.614,2.29,0.4235,0.0001474488710295518,-0.2652,0.03401065154389855,1.2194,0.011151150934445955,0.061,2.1131491676902078e-209,-0.0058,0.9296389772123899,1.0,1.0,False,False
Hypertension,Insulin (uIU/mL),AST Liver Enzyme (U/L),High-High,OR,2585,52,206,195,2132,0.333,0.5097,0.4462,0.4423,48.6,46.6,50.4,48.7,2.081,1.615,1.595,1.0516,3.1376059801095157e-10,0.5154,0.0023263390981715436,-0.9817,0.011523682989561636,0.0577,1.7694354916256656e-95,0.0666,0.47405142102999465,1.0,1.0,False,False
Heart Attack,"Glycohemoglobin (HbA1c, %)",Hemoglobin (g/dL),Low-High,AND,5005,29,284,418,4274,0.0512,0.0141,0.0455,0.1034,52.7,39.1,48.9,39.1,0.296,0.902,2.44,-0.6739,0.19392496262642234,-0.2496,0.32911941775549214,2.1873,0.0117166562246378,0.0635,9.548460216710461e-35,-0.9648,6.578410610749475e-11,1.0,1.0,False,False
Hypertension,Diastolic BP (mmHg),ALT Liver Enzyme (U/L),High-High,OR,5147,93,388,409,4257,0.3279,0.6082,0.3447,0.4839,48.5,52.8,42.8,46.3,3.178,1.08,1.922,1.2075,1.3667595886396693e-24,0.54,1.6154675922646675e-05,-0.6943,0.011875033556954516,0.0621,2.892556835581619e-197,0.04,0.5555080771204861,1.0,1.0,False,False
Thyroid Problem,Fasting Glucose (mg/dL),WBC Count (10^3/uL),Low-Low,AND,2428,24,180,203,2021,0.1321,0.05,0.1527,0.2083,52.0,41.7,54.8,44.4,0.363,1.198,1.85,-0.9143,0.010773581600224126,0.0745,0.731140850217825,1.6834,0.012217902959951007,0.0386,2.1474525767771615e-21,1.3863,1.0158866138745744e-21,1.0,1.0,False,False
Diabetes,Fasting Glucose (mg/dL),LDL Cholesterol (mg/dL),Low-High,XNOR,2806,17,226,262,2301,0.156,0.0398,0.1221,0.1765,46.0,34.9,53.9,45.0,0.236,0.762,1.304,-0.9916,0.005856055376603059,-0.5338,0.009314717174001157,1.9607,0.012301750217746665,0.0574,4.4429043726565775e-57,-0.2455,0.035053978950693884,1.0,1.0,False,False
Diabetes,Waist Circumference (cm),"Glycohemoglobin (HbA1c, %)",High-High,OR,5744,114,459,428,4743,0.0512,0.1503,0.8037,0.807,42.9,47.5,62.6,56.2,3.289,75.352,75.984,1.1819,2.1929336032532968e-14,3.9468,1.01447525977059e-161,-0.7912,0.013313679499131918,0.056,1.0388738341226613e-58,-0.3012,0.005294175136337484,1.0,1.0,False,False
Stroke,Systolic BP (mmHg),Potassium (mmol/L),Low-Low,AND,4673,22,410,268,3973,0.0486,0.022,0.0672,0.1364,52.7,39.4,53.0,36.5,0.462,1.443,3.507,-0.04,0.9106203772902379,0.4143,0.11372969630403193,1.9253,0.013553502914915964,0.0575,1.215687164723896e-28,0.0592,0.6749037073787569,1.0,1.0,False,False
Diabetes,HDL Cholesterol (mg/dL),Calcium (mg/dL),TwoSided-TwoSided,AND,5891,181,969,773,3968,0.127,0.1455,0.1436,0.2376,44.3,48.3,47.2,50.2,1.173,1.156,2.157,0.0224,0.8377565814103933,0.0245,0.8397000242905959,0.6058,0.013633036891160997,0.0557,4.227694234131816e-112,-0.3432,2.7069171163850906e-05,1.0,1.0,False,False
Diabetes,Potassium (mmol/L),hs-CRP Inflammation (mg/L),High-High,OR,5879,61,515,527,4776,0.1129,0.2408,0.2182,0.2951,44.4,51.5,47.6,60.8,2.498,2.199,3.34,0.5302,2.0236014689793707e-05,0.843,1.3046713911002102e-11,-0.8422,0.013718257008209767,0.055,4.828267205848281e-106,-0.3372,5.3413278533863934e-05,1.0,1.0,False,False
Diabetes,Insulin (uIU/mL),Sodium (mmol/L),Low-High,AND,2820,16,266,160,2378,0.151,0.0602,0.1938,0.3125,45.4,45.2,52.6,51.8,0.37,1.366,2.687,-1.07,9.475702530160325e-05,0.0026,0.9904871727203021,1.7317,0.01374197117252312,0.0573,2.40981338333384e-58,-0.2658,0.021412432787188292,1.0,1.0,False,False
Liver Condition,Systolic BP (mmHg),"Glycohemoglobin (HbA1c, %)",Low-High,AND,4764,17,425,444,3878,0.0539,0.0329,0.0743,0.2353,51.8,38.5,61.7,57.9,0.617,1.426,5.839,-0.187,0.5165721070424623,0.1579,0.4231140346420882,1.6336,0.014132191954562914,0.0203,2.8923712626195555e-07,-0.2109,0.10302741355706832,1.0,1.0,False,False
Hypertension,Systolic BP (mmHg),Potassium (mmol/L),High-Low,OR,5146,39,475,265,4367,0.3016,0.7116,0.5208,0.641,46.3,66.4,48.7,60.2,5.7,2.515,4.072,0.908,2.6166662789178957e-15,1.0335,2.757712523562852e-13,-0.9792,0.014247226749712278,0.0566,2.715287166690609e-167,-0.1272,0.0588099867290846,1.0,1.0,False,False
Thyroid Problem,"Glycohemoglobin (HbA1c, %)",Sodium (mmol/L),High-High,AND,4899,23,450,273,4153,0.118,0.1244,0.1648,0.3913,50.1,61.4,55.5,64.0,1.07,1.487,4.893,-0.1932,0.2166977243244601,0.166,0.350993541814828,1.2449,0.014279187910080383,0.0396,6.8664381125603145e-43,1.1861,4.776877095517908e-32,1.0,1.0,False,False
Diabetes,Fasting Glucose (mg/dL),Insulin (uIU/mL),TwoSided-TwoSided,OR,2823,158,365,407,1893,0.0724,0.4493,0.1081,0.4177,45.4,49.9,43.4,48.3,10.429,1.564,9.184,2.6251,2.0877579828565483e-59,0.6649,0.0006966140778833194,-0.7296,0.01449394812524907,0.0648,1.6210422032409792e-56,-0.1901,0.14012162902215738,1.0,1.0,False,False
High Cholesterol,Calcium (mg/dL),WBC Count (10^3/uL),Low-High,AND,5383,44,485,493,4361,0.3307,0.2969,0.3144,0.4773,48.3,50.1,46.0,49.0,0.856,0.93,1.852,-0.2178,0.05517505078009105,0.0714,0.5286137364162165,0.8965,0.014518918921987528,0.0547,1.477149501119831e-181,-0.065,0.31359518746798143,1.0,1.0,False,False
Stroke,Body Mass Index (kg/m2),Sodium (mmol/L),TwoSided-TwoSided,AND,4832,152,808,513,3359,0.0458,0.0384,0.0526,0.0987,51.9,47.0,55.7,48.0,0.841,1.173,2.339,0.0624,0.7623393624442492,-0.0211,0.9230638395990932,0.9853,0.01495098780307037,0.0582,6.278805547067932e-31,0.049,0.726365147110296,1.0,1.0,False,False
Diabetes,Sodium (mmol/L),Hemoglobin (g/dL),Low-Low,XOR,5897,51,383,490,4973,0.1205,0.2454,0.2041,0.1176,44.9,49.0,48.4,43.0,2.382,1.878,1.042,0.7968,8.895946398260299e-09,0.5867,1.348621308848559e-05,-1.2233,0.015051580104662066,0.0551,1.506939950831986e-109,-0.3839,4.303945114088724e-06,1.0,1.0,False,False
Arthritis,"Glycohemoglobin (HbA1c, %)",Sodium (mmol/L),High-Low,OR,4899,80,393,302,4124,0.2907,0.4707,0.3742,0.35,50.3,62.2,50.9,59.3,2.17,1.461,1.324,0.276,0.016395406681508316,0.4209,0.002813847610846763,-0.7364,0.0161092877894936,0.063,9.056538923677044e-161,0.5159,1.6492200355253188e-13,1.0,1.0,False,False
Diabetes,Diastolic BP (mmHg),Hemoglobin (g/dL),High-High,XNOR,6297,98,493,480,5226,0.1255,0.1176,0.1042,0.1633,41.3,52.0,43.5,49.1,0.935,0.817,1.392,-0.3357,0.026531332837452487,-0.4035,0.016373933552908348,0.8547,0.016757968030023666,0.0562,1.1011003704029035e-122,-0.3881,5.5285671883985365e-06,1.0,1.0,False,False
Stroke,Alkaline Phosphatase (U/L),Hemoglobin (g/dL),TwoSided-TwoSided,AND,4904,194,755,700,3255,0.0439,0.0503,0.0457,0.134,51.8,50.5,50.1,55.1,1.164,1.054,3.411,0.1996,0.2960900873298291,0.1038,0.6120097950681602,0.8241,0.01693545491252105,0.0567,2.2704741965877453e-31,0.1225,0.3699377717635931,1.0,1.0,False,False
Arthritis,Waist Circumference (cm),HDL Cholesterol (mg/dL),High-Low,OR,4668,87,378,343,3860,0.2899,0.4709,0.2886,0.3678,51.3,50.8,49.4,51.8,2.18,0.997,1.434,1.052,7.59018316770236e-18,0.3138,0.025325496401531276,-0.7259,0.01699361161713279,0.0653,1.547755240384009e-157,0.5453,1.1971595841660532e-13,1.0,1.0,False,False
Arthritis,AST Liver Enzyme (U/L),Potassium (mmol/L),High-Low,AND,4887,36,415,270,4166,0.3133,0.2843,0.2889,0.5,51.6,50.4,51.3,54.1,0.873,0.894,2.192,0.0016,0.9901259671546311,-0.171,0.26193770086266,0.9815,0.017003737139319297,0.0635,9.279873746298877e-166,0.5211,1.2634122543055455e-13,1.0,1.0,False,False
Heart Attack,Insulin (uIU/mL),AST Liver Enzyme (U/L),High-High,XOR,2367,48,188,184,1947,0.0457,0.1011,0.0924,0.0208,51.5,49.5,52.4,51.3,2.389,2.17,0.656,1.0878,0.00010288354870749045,0.7451,0.01019297539170046,-2.5975,0.01746121977238569,0.066,1.6647540233064316e-19,-0.7669,0.000122522663834553,1.0,1.0,False,False
Heart Attack,Body Mass Index (kg/m2),Hemoglobin (g/dL),High-High,AND,4940,39,451,405,4045,0.0489,0.0421,0.042,0.1282,52.0,48.7,48.7,45.4,0.874,0.873,3.09,0.322,0.20756649880425204,-0.2967,0.270007960564546,1.4617,0.01752507208891365,0.0659,2.6451816089029743e-35,-0.9654,1.2138307057973274e-10,1.0,1.0,False,False
Liver Condition,LDL Cholesterol (mg/dL),WBC Count (10^3/uL),High-High,AND,2360,20,216,208,1916,0.0574,0.0324,0.0529,0.15,51.2,54.9,51.0,47.6,0.585,0.952,3.27,-0.6376,0.10876765128746456,-0.0724,0.8245441812105232,1.9241,0.017545236252173257,0.0208,9.141847185907221e-05,-0.3444,0.05918970890235207,1.0,1.0,False,False
Stroke,LDL Cholesterol (mg/dL),Sodium (mmol/L),TwoSided-TwoSided,AND,2357,74,388,235,1660,0.0392,0.0515,0.0553,0.1757,50.0,55.4,53.4,57.8,1.355,1.478,5.347,0.0214,0.9363861825471477,0.1818,0.5684182794695338,1.2062,0.01761818781786958,0.0565,7.0395088488745875e-15,0.1619,0.41952344643558004,1.0,1.0,False,False
Diabetes,BUN Kidney (mg/dL),Hemoglobin (g/dL),Low-High,AND,5894,35,496,555,4808,0.1456,0.0665,0.1045,0.2286,47.0,32.5,44.3,44.5,0.424,0.69,1.813,0.0117,0.9527403562344741,-0.3931,0.012015616906207869,1.1589,0.01775666286486348,0.0558,5.12092828523123e-109,-0.3844,5.281712129463989e-06,1.0,1.0,False,False
Liver Condition,Creatinine Kidney (mg/dL),Uric Acid (mg/dL),High-Low,AND,4899,16,462,472,3949,0.0565,0.0649,0.0297,0.1875,50.8,63.5,45.3,63.5,1.176,0.527,4.323,-0.1574,0.45174898000271924,-0.4872,0.08862926747319232,1.725,0.017863576377689563,0.0218,1.584015376392402e-08,-0.1657,0.20387388016059071,1.0,1.0,False,False
Liver Condition,Uric Acid (mg/dL),WBC Count (10^3/uL),High-Low,AND,4896,51,435,412,3998,0.0525,0.069,0.0485,0.1765,50.8,55.4,53.0,59.0,1.354,0.94,4.023,0.1535,0.4555674651683118,-0.1331,0.5806339345847883,1.1355,0.01817682220024144,0.0214,1.259454338886619e-08,-0.1777,0.1659330645369157,1.0,1.0,False,False
Diabetes,Diastolic BP (mmHg),Calcium (mg/dL),Low-High,AND,5600,62,481,335,4722,0.1349,0.1331,0.1433,0.2258,46.2,40.3,46.8,37.1,0.99,1.081,1.916,-0.0447,0.7752038514186648,-0.0508,0.7686039786665895,1.018,0.01845813527761056,0.0554,1.3533281966927357e-105,-0.3643,1.4099064751343498e-05,1.0,1.0,False,False
High Cholesterol,LDL Cholesterol (mg/dL),Hemoglobin (g/dL),Low-Low,AND,2565,36,212,198,2119,0.3294,0.3255,0.3081,0.5556,47.8,50.8,51.2,59.9,0.986,0.91,2.528,-0.2841,0.10113362433013925,-0.3606,0.04700433828412054,1.0721,0.01855353098400105,0.0548,2.75338016469866e-85,0.0339,0.7188677733560548,1.0,1.0,False,False
Heart Attack,Insulin (uIU/mL),Calcium (mg/dL),Low-Low,AND,2374,14,224,158,1978,0.0561,0.0357,0.0316,0.1429,51.8,49.2,49.2,48.9,0.658,0.6,3.35,-0.4192,0.2731514038357572,-0.4288,0.36821294236408364,2.3612,0.018568545699757195,0.0635,4.99134504822177e-19,-0.8049,5.0926508010353876e-05,1.0,1.0,False,False
Diabetes,Fasting Glucose (mg/dL),AST Liver Enzyme (U/L),High-Low,OR,2815,44,236,238,2297,0.074,0.7924,0.0966,0.7045,44.7,61.5,38.7,59.0,47.265,1.361,29.115,3.5913,1.3347932893672408e-79,0.7205,0.004271037632353696,-1.0851,0.018673831073232228,0.0554,7.762536715575624e-37,-0.1351,0.33695314656642605,1.0,1.0,False,False
High Cholesterol,Creatinine Kidney (mg/dL),Albumin (g/dL),High-Low,XNOR,5388,56,464,297,4571,0.3166,0.444,0.266,0.5536,46.5,62.5,49.6,66.4,1.724,0.785,2.666,-0.264,0.01816605748134891,-0.4556,0.0022769141200804787,0.7873,0.01879681657796688,0.0557,5.170979250105195e-177,-0.0741,0.2613211482372084,1.0,1.0,False,False
Liver Condition,Body Mass Index (kg/m2),"Glycohemoglobin (HbA1c, %)",Low-Low,AND,4926,54,438,252,4182,0.0571,0.0228,0.0516,0.0926,52.8,46.8,39.0,37.6,0.403,0.928,1.83,-0.8347,0.010909760400339388,0.1667,0.5763431399459316,1.5107,0.01880067479186939,0.0205,9.095825050162951e-08,-0.2672,0.03556891342143826,1.0,1.0,False,False
Hypertension,BUN Kidney (mg/dL),Hemoglobin (g/dL),High-High,OR,5405,22,410,476,4497,0.3187,0.7146,0.3403,0.5,46.9,68.5,43.5,64.5,5.34,1.105,2.138,0.719,8.195846181832877e-09,0.3487,0.0034934300007470856,-1.1326,0.018943683596796216,0.0577,3.769438960967945e-183,0.0274,0.6871141198595392,1.0,1.0,False,False
Hypertension,Albumin (g/dL),WBC Count (10^3/uL),Low-Low,AND,5408,35,321,480,4572,0.3478,0.4237,0.3188,0.6,47.8,52.2,49.8,55.2,1.38,0.879,2.78,0.1601,0.23204891737204292,-0.309,0.0074297213039571175,1.0098,0.019354382356414214,0.0603,1.1357891043670321e-209,-0.052,0.42328808930925343,1.0,1.0,False,False
High Cholesterol,Total Cholesterol (mg/dL),Triglycerides (mg/dL),High-High,OR,2589,72,183,186,2148,0.2854,0.6339,0.5,0.5972,47.7,55.4,50.7,49.5,4.32,2.503,3.691,1.3452,9.279680417688e-15,0.993,4.544724004653882e-09,-0.816,0.01961026743082635,0.055,6.750282009463027e-83,0.0203,0.8313207673827525,1.0,1.0,False,False
Hypertension,Triglycerides (mg/dL),Uric Acid (mg/dL),High-High,OR,2594,57,202,203,2132,0.3241,0.4257,0.6108,0.4912,47.7,50.0,55.5,52.2,1.548,3.265,2.014,0.4771,0.003503886907030527,1.0805,4.411460388797234e-10,-0.8654,0.01987033641501345,0.0561,4.913368923232439e-91,0.1516,0.10993017644675615,1.0,1.0,False,False
Diabetes,Potassium (mmol/L),hs-CRP Inflammation (mg/L),TwoSided-TwoSided,OR,5879,244,897,916,3822,0.1214,0.1929,0.1332,0.1516,45.9,51.6,37.7,45.2,1.731,1.115,1.307,0.3084,0.003424038516420519,0.5322,8.837287673991985e-06,-0.5666,0.020220479232409647,0.0562,1.741644950294852e-112,-0.3443,2.7867493240564328e-05,1.0,1.0,False,False
Heart Attack,Fasting Glucose (mg/dL),Hemoglobin (g/dL),Low-High,AND,2428,11,231,203,1983,0.0545,0.026,0.0542,0.1818,52.8,41.8,49.6,37.3,0.498,1.033,4.549,-0.1757,0.6886210001616087,-0.1322,0.699558817403162,2.4052,0.02065667266076112,0.0629,5.618919796833276e-19,-0.8002,8.14562277799761e-05,1.0,1.0,False,False
Hypertension,Hemoglobin (g/dL),Platelet Count (10^3/uL),Low-High,XOR,5540,120,382,420,4618,0.3393,0.4921,0.3524,0.325,48.4,54.1,43.2,43.1,1.887,1.061,0.944,0.5024,6.357389852157162e-05,0.467,0.0001120140475174601,-0.649,0.020670115036402346,0.0603,3.8339154701580295e-212,-0.1088,0.09685074124858908,1.0,1.0,False,False
Liver Condition,Albumin (g/dL),hs-CRP Inflammation (mg/L),Low-Low,AND,4889,7,333,468,4081,0.0551,0.0631,0.047,0.2857,51.9,53.9,46.4,43.7,1.177,0.862,7.774,0.1258,0.5970776610281359,-0.0653,0.7769444663497153,2.114,0.020814566317643675,0.0222,3.601933721575164e-09,-0.2115,0.09497382086059392,1.0,1.0,False,False
Heart Attack,LDL Cholesterol (mg/dL),Uric Acid (mg/dL),TwoSided-TwoSided,AND,2350,91,371,343,1545,0.0492,0.0701,0.0321,0.1319,50.5,55.6,49.7,56.6,1.473,0.664,3.02,0.126,0.6044437670155742,-0.446,0.18463280034427498,1.1907,0.020816138762855492,0.0619,4.249020549734339e-18,-0.8127,4.801099205624259e-05,1.0,1.0,False,False
Heart Attack,BUN Kidney (mg/dL),WBC Count (10^3/uL),Low-High,AND,4901,48,310,423,4120,0.0502,0.0161,0.0638,0.0833,52.5,42.3,49.5,39.4,0.34,1.308,1.907,-0.3614,0.4383628838171485,0.4834,0.028934502672099377,1.7352,0.021203090155971962,0.0654,5.322459258182612e-36,-0.9559,6.682366329214798e-11,1.0,1.0,False,False
Arthritis,Diastolic BP (mmHg),Platelet Count (10^3/uL),TwoSided-TwoSided,AND,4777,186,712,753,3126,0.2985,0.2949,0.3426,0.4624,50.6,52.9,53.0,57.7,0.984,1.226,2.022,-0.1685,0.09867305386219927,0.1169,0.21897993457135123,0.4857,0.021211374261730347,0.0623,2.038184505257148e-156,0.4934,2.4231236579834444e-12,1.0,1.0,False,False
Thyroid Problem,ALT Liver Enzyme (U/L),Sodium (mmol/L),Low-Low,AND,4901,30,322,351,4198,0.1222,0.1087,0.1254,0.2333,51.6,49.0,53.2,46.6,0.886,1.039,2.291,-0.3358,0.08132086262810281,-0.0195,0.9114197484419512,1.2009,0.021330605763104804,0.0398,1.39941164598042e-43,1.2024,9.013091084172262e-33,1.0,1.0,False,False
Hypertension,Diastolic BP (mmHg),Hemoglobin (g/dL),TwoSided-TwoSided,OR,5274,217,800,782,3475,0.3119,0.465,0.3836,0.4747,48.1,50.1,47.2,51.3,1.917,1.373,1.993,0.6935,3.3240272417894875e-14,0.4532,1.4551920457837082e-06,-0.4599,0.021960902387679584,0.06,1.802481934444663e-201,-0.0083,0.8999054089936073,1.0,1.0,False,False
Liver Condition,Alkaline Phosphatase (U/L),Calcium (mg/dL),Low-High,AND,4898,30,431,424,4013,0.0586,0.0255,0.0495,0.1,51.5,45.8,57.4,50.1,0.439,0.855,2.042,-0.7493,0.017003620385299588,-0.2878,0.2217791588987592,1.6614,0.022023059622349576,0.0218,7.673756350397218e-09,-0.1986,0.1159359793896549,1.0,1.0,False,False
Arthritis,HDL Cholesterol (mg/dL),Sodium (mmol/L),Low-Low,AND,4899,48,403,334,4114,0.3094,0.273,0.3473,0.5208,51.5,49.6,52.5,54.3,0.84,1.19,2.421,0.1102,0.4014156823339703,0.1582,0.242263773421449,0.8242,0.02228211586474633,0.0637,7.276402293026533e-166,0.5347,5.4039156187302454e-14,1.0,1.0,False,False
Thyroid Problem,Body Mass Index (kg/m2),Uric Acid (mg/dL),Low-High,AND,4824,7,468,467,3882,0.1273,0.0855,0.1028,0.2857,51.5,45.7,55.6,56.4,0.648,0.792,3.115,-0.3703,0.037867105281567795,-0.1441,0.3945281787774949,2.0903,0.0223203542824005,0.0393,4.1883922274630577e-41,1.2174,4.991352202941736e-32,1.0,1.0,False,False
Heart Attack,Body Mass Index (kg/m2),WBC Count (10^3/uL),Low-High,AND,4940,29,462,445,4004,0.0487,0.0281,0.0584,0.1724,52.4,45.8,48.4,48.1,0.585,1.231,4.374,-0.3327,0.2662879108951681,0.491,0.02882807385317,1.555,0.022351214588704156,0.0651,1.0371677356540112e-35,-0.937,1.8557850104751494e-10,1.0,1.0,False,False
Heart Attack,Total Cholesterol (mg/dL),WBC Count (10^3/uL),High-High,AND,4924,51,430,421,4022,0.0502,0.0233,0.0618,0.098,51.5,54.8,48.6,47.7,0.471,1.264,2.232,-0.7209,0.03025684250745338,0.4644,0.03944384390486043,1.4366,0.022551101784370257,0.0647,2.3387963289003535e-36,-0.9184,3.451107751276638e-10,1.0,1.0,False,False
Arthritis,Calcium (mg/dL),Hemoglobin (g/dL),Low-High,AND,4897,18,298,418,4163,0.3204,0.2886,0.2249,0.5,51.9,50.7,48.0,53.7,0.863,0.617,2.12,-0.0643,0.6578846677287481,-0.0773,0.5771468846760626,1.2365,0.02264664062589613,0.0635,4.465225386825034e-165,0.509,2.156735921353555e-12,1.0,1.0,False,False
High Cholesterol,Potassium (mmol/L),Hemoglobin (g/dL),High-High,AND,5383,60,467,435,4421,0.3198,0.3983,0.2966,0.5,47.8,56.7,43.5,51.0,1.409,0.898,2.126,-0.1428,0.20684717878926584,0.1013,0.42251826009093985,0.7531,0.022649449865841047,0.0551,2.3663627881205676e-178,-0.0389,0.5658502903426601,1.0,1.0,False,False
Diabetes,HDL Cholesterol (mg/dL),hs-CRP Inflammation (mg/L),TwoSided-TwoSided,AND,6687,211,1019,1076,4381,0.1141,0.1354,0.1106,0.2085,41.7,47.2,33.1,39.4,1.218,0.968,2.06,0.0235,0.8310923974029575,0.4229,0.00042325075521114337,0.5593,0.023138173869894245,0.0583,1.1703820532735425e-134,-0.3591,1.2038413462431964e-05,1.0,1.0,False,False
High Cholesterol,Systolic BP (mmHg),BUN Kidney (mg/dL),TwoSided-TwoSided,XNOR,5124,211,808,613,3492,0.3267,0.3144,0.3426,0.4408,47.2,48.6,51.6,55.1,0.945,1.075,1.625,-0.1899,0.04506845171383117,-0.2095,0.044517301828647646,0.4735,0.023239971617043276,0.056,3.216317961242761e-174,-0.068,0.30607074188496086,1.0,1.0,False,False
Heart Attack,Sodium (mmol/L),hs-CRP Inflammation (mg/L),Low-Low,AND,4894,35,345,439,4075,0.0518,0.0551,0.0205,0.1143,52.0,52.7,46.0,51.9,1.091,0.403,2.61,-0.0155,0.9514074661170787,-0.7892,0.024453618786453038,1.6273,0.0233295385334524,0.064,2.6927148760533524e-35,-0.9426,9.898083529677136e-11,1.0,1.0,False,False
Liver Condition,Creatinine Kidney (mg/dL),Albumin (g/dL),Low-High,AND,4901,13,475,260,4153,0.0575,0.0442,0.0308,0.1538,52.5,46.7,43.9,40.7,0.773,0.55,3.553,-0.0343,0.8881124550278913,-0.5307,0.1498238926982827,2.0109,0.02347258894024753,0.0217,9.113785395911247e-09,-0.2274,0.08375202873286182,1.0,1.0,False,False
Liver Condition,Potassium (mmol/L),Hemoglobin (g/dL),High-Low,AND,4896,59,420,397,4020,0.057,0.0452,0.0378,0.1017,50.3,59.4,52.4,64.5,0.802,0.669,2.007,-0.4964,0.04611705774591009,-0.4349,0.1145911028328888,1.2755,0.023569453392686266,0.0231,1.4001849329280982e-09,-0.2165,0.09142576009215202,1.0,1.0,False,False
Diabetes,AST Liver Enzyme (U/L),hs-CRP Inflammation (mg/L),Low-High,OR,5862,107,419,480,4856,0.1211,0.179,0.225,0.243,45.5,40.3,49.2,48.2,1.59,2.113,2.358,0.9545,4.2409819833885994e-10,0.7867,9.21455088936685e-10,-0.7091,0.023802414948024694,0.0573,1.543300105255948e-113,-0.4304,2.66433968244111e-07,1.0,1.0,False,False
Heart Attack,Alkaline Phosphatase (U/L),WBC Count (10^3/uL),Low-High,AND,4902,29,434,442,3997,0.0505,0.023,0.0611,0.1379,52.4,46.0,48.6,47.2,0.464,1.241,3.308,-0.6139,0.06800550201705267,0.4802,0.030115149165652784,1.6272,0.023903945725762637,0.0649,3.384077594638153e-36,-0.9552,6.225431483842933e-11,1.0,1.0,False,False
Diabetes,Alkaline Phosphatase (U/L),Creatinine Kidney (mg/dL),High-Low,XOR,5898,151,432,399,4916,0.1365,0.1204,0.1754,0.0464,47.9,31.4,40.6,19.2,0.872,1.353,0.328,0.5448,0.0017420724884683505,1.0358,5.911687598098818e-11,-1.0469,0.02418245392600788,0.0586,1.6817813942480106e-117,-0.465,5.3737942965762015e-08,1.0,1.0,False,False
High Cholesterol,Alkaline Phosphatase (U/L),Sodium (mmol/L),High-Low,AND,5387,44,488,361,4494,0.3178,0.3668,0.3573,0.5909,47.9,49.5,49.9,53.2,1.245,1.196,3.075,0.1338,0.2279068803199794,0.1072,0.4011175442412068,0.8349,0.024655290901250536,0.0545,2.269588132414082e-180,-0.0665,0.30262321366681744,1.0,1.0,False,False
High Cholesterol,ALT Liver Enzyme (U/L),Sodium (mmol/L),TwoSided-TwoSided,XOR,5387,144,823,589,3831,0.3205,0.3001,0.4092,0.3194,49.0,42.3,51.8,47.7,0.91,1.469,1.0,0.277,0.003274720534615132,0.3073,0.0023275172204727493,-0.5375,0.02508487807696741,0.0551,2.4668100936347906e-180,-0.0622,0.3352162263463915,1.0,1.0,False,False
Liver Condition,Hemoglobin (g/dL),WBC Count (10^3/uL),High-High,AND,5013,57,389,425,4142,0.0529,0.0591,0.0541,0.1579,52.1,48.7,49.0,45.8,1.146,1.044,3.501,0.1197,0.6104456646237313,0.1037,0.6472710430216224,1.0784,0.025255061533858394,0.022,3.4500237332040646e-09,-0.168,0.19879891809444272,1.0,1.0,False,False
