outcome_name,marker1_name,marker2_name,anomaly_type,gate,n_samples,n11,n10,n01,n00,p00,p10,p01,p11,age00,age10,age01,age11,or10,or01,or11,beta1,p1,beta2,p2,beta3_adjusted,p3_adjusted,beta_age,p_age,beta_sex,p_sex,p3_fdr,p3_bonferroni,survives_fdr,survives_bonferroni
Hypertension,Systolic BP (mmHg),Uric Acid (mg/dL),High-High,OR,5146,73,442,412,4219,0.2899,0.7059,0.5607,0.7123,45.9,66.0,51.7,65.7,5.865,3.124,5.98,0.9424,1.5219317946936742e-15,1.0792,1.949616992805547e-19,-1.0101,0.001501196317918339,0.0559,1.457649996528922e-163,0.0179,0.7932914727195042,1.0,1.0,False,False
Hypertension,"Glycohemoglobin (HbA1c, %)",Fasting Glucose (mg/dL),TwoSided-TwoSided,AND,2652,242,203,256,1951,0.3424,0.2759,0.3008,0.595,48.7,42.5,44.4,56.7,0.735,0.829,2.817,-0.0544,0.7698520574604278,-0.0171,0.9160564062249503,0.8791,0.0017364033384270592,0.0552,2.1439934992627576e-91,0.0513,0.5745780103955026,1.0,1.0,False,False
Heart Attack,"Glycohemoglobin (HbA1c, %)",Calcium (mg/dL),TwoSided-TwoSided,AND,4900,124,657,648,3471,0.0475,0.0548,0.0386,0.1371,50.8,51.9,53.8,57.4,1.173,0.817,3.252,0.024,0.9025281901988444,-0.3501,0.11967423940321273,1.241,0.001785635208771135,0.0643,1.7632604743678607e-35,-0.922,2.9154030851444555e-10,1.0,1.0,False,False
Heart Attack,"Glycohemoglobin (HbA1c, %)",Potassium (mmol/L),Low-Low,AND,4900,18,288,288,4306,0.0525,0.0139,0.0347,0.1667,52.3,38.8,52.1,43.9,0.285,0.679,4.068,-0.7113,0.16997378100679916,-0.1879,0.5774279615066397,2.8802,0.0018602732867286412,0.0642,4.574255364367195e-35,-0.9296,1.9526430300145926e-10,1.0,1.0,False,False
Stroke,Triglycerides (mg/dL),hs-CRP Inflammation (mg/L),High-High,AND,2376,26,211,212,1927,0.0467,0.0284,0.0425,0.2308,51.4,50.4,52.0,54.1,0.642,0.948,6.438,-0.3688,0.39713429861191674,-0.0623,0.863846600285648,2.3064,0.001900591850168956,0.0574,1.982227831875261e-15,0.1348,0.5045318276591322,1.0,1.0,False,False
Arthritis,hs-CRP Inflammation (mg/L),WBC Count (10^3/uL),TwoSided-TwoSided,XOR,4892,244,717,692,3239,0.3041,0.325,0.3382,0.2746,52.1,48.9,51.3,50.6,1.103,1.17,0.87,0.2901,0.0035837872350860636,0.2371,0.01778575161746801,-0.6398,0.0020253280555968,0.0638,2.353146402287414e-166,0.5035,5.875945366786587e-13,1.0,1.0,False,False
Hypertension,Systolic BP (mmHg),Sodium (mmol/L),High-Low,OR,5149,36,479,355,4279,0.3066,0.7161,0.4028,0.5833,46.2,65.8,48.3,68.2,5.69,1.527,3.136,0.9387,2.8876360909447354e-16,0.414,0.0010964907578871696,-1.205,0.0021834508076499035,0.0563,1.3441273444204408e-167,-0.0803,0.22916109018477704,1.0,1.0,False,False
Hypertension,Diastolic BP (mmHg),Uric Acid (mg/dL),High-High,OR,5146,71,410,414,4251,0.3044,0.5878,0.587,0.5634,47.4,52.1,54.7,48.4,3.255,3.244,2.937,1.2157,1.8766129394214882e-26,1.0841,1.3271405050838298e-18,-0.9215,0.0023290657831378384,0.0606,1.4021759863633942e-190,0.1096,0.11199839176171152,1.0,1.0,False,False
Liver Condition,"Glycohemoglobin (HbA1c, %)",Creatinine Kidney (mg/dL),High-Low,AND,4897,74,399,414,4010,0.0544,0.0727,0.029,0.1486,51.0,62.6,44.9,55.7,1.382,0.539,3.143,0.08,0.7010217077347423,-0.4238,0.1712878979835405,1.4769,0.002362206197615845,0.0212,3.0912963559205916e-08,-0.1964,0.13410694818471683,1.0,1.0,False,False
Liver Condition,Body Mass Index (kg/m2),Triglycerides (mg/dL),High-High,AND,2343,29,206,204,1904,0.0536,0.0534,0.0392,0.2414,51.9,47.8,51.2,47.4,1.034,0.761,5.862,0.1999,0.5470921582267485,-0.3731,0.3222918758022062,1.9958,0.002399840098111251,0.0195,0.00035729278794577107,-0.4574,0.01520761254925367,1.0,1.0,False,False
Liver Condition,Systolic BP (mmHg),Insulin (uIU/mL),High-High,AND,2260,20,203,205,1832,0.0573,0.0443,0.039,0.2,49.8,67.0,49.5,55.8,0.8,0.705,4.466,-0.6075,0.0958315753421522,-0.3978,0.28977693201179544,2.3075,0.002425018573207468,0.0236,3.2758068136566925e-05,-0.303,0.10399063089007647,1.0,1.0,False,False
Arthritis,Sodium (mmol/L),WBC Count (10^3/uL),High-High,AND,4900,29,267,444,4160,0.3087,0.3446,0.295,0.5862,51.5,56.5,48.3,52.6,1.18,0.939,3.135,-0.1702,0.24592211055255908,0.1107,0.3682584097098558,1.3996,0.002449951679723552,0.064,2.743819462730355e-166,0.5122,2.349231371514687e-13,1.0,1.0,False,False
Heart Attack,Hemoglobin (g/dL),WBC Count (10^3/uL),High-High,AND,5018,58,390,422,4148,0.0485,0.0359,0.0521,0.1552,52.2,48.7,48.9,45.8,0.754,1.101,3.76,-0.4532,0.11994112771422276,0.3267,0.17485302013735793,1.62,0.002574929197167118,0.0648,3.259579565502951e-36,-0.9684,5.953255783422814e-11,1.0,1.0,False,False
Heart Attack,AST Liver Enzyme (U/L),Alkaline Phosphatase (U/L),High-Low,AND,4892,24,429,437,4002,0.0515,0.0536,0.0229,0.1667,52.2,50.9,46.0,48.5,1.063,0.452,4.036,0.0785,0.7372277552540912,-0.659,0.04999920700222128,2.1805,0.0026088539488628745,0.0647,9.19706055675454e-36,-0.9359,1.4737508857630058e-10,1.0,1.0,False,False
Diabetes,Insulin (uIU/mL),Creatinine Kidney (mg/dL),High-Low,OR,2819,34,248,240,2297,0.1228,0.3387,0.1667,0.1471,47.1,45.3,35.8,34.6,3.665,1.441,1.33,1.7301,2.1887045597744342e-23,1.3334,1.1747798053110838e-09,-1.7829,0.0026146572379869898,0.065,1.2930107860334254e-63,-0.3732,0.002562169251450563,1.0,1.0,False,False
Liver Condition,Creatinine Kidney (mg/dL),WBC Count (10^3/uL),High-Low,AND,4898,52,425,411,4010,0.0541,0.0541,0.0487,0.1731,50.0,63.4,52.3,64.3,1.018,0.913,3.809,-0.357,0.12668036020567397,-0.1716,0.4759904664722173,1.4739,0.002653032683926609,0.0225,4.8057893893965645e-09,-0.229,0.07472321638321745,1.0,1.0,False,False
Heart Attack,Hemoglobin (g/dL),WBC Count (10^3/uL),TwoSided-TwoSided,AND,5018,194,720,763,3341,0.0467,0.0333,0.0603,0.1031,51.7,51.4,51.1,51.3,0.716,1.319,2.391,-0.4965,0.030309767031114956,0.3024,0.09225548521591902,1.1196,0.0028470845201041864,0.0647,2.859687136319003e-36,-0.9816,1.6449458990041437e-11,1.0,1.0,False,False
Stroke,Fasting Glucose (mg/dL),Potassium (mmol/L),Low-Low,AND,2382,18,210,210,1944,0.0484,0.0238,0.0476,0.2778,52.6,40.2,51.6,48.8,0.524,1.025,7.978,-0.1625,0.7334701796215404,0.0703,0.8404781323751117,2.4475,0.002898538806307365,0.058,5.291002016317777e-16,0.2039,0.3078669167095288,1.0,1.0,False,False
Diabetes,Total Cholesterol (mg/dL),Creatinine Kidney (mg/dL),High-Low,AND,5893,46,544,504,4799,0.1392,0.0993,0.129,0.2609,45.7,54.1,33.9,44.1,0.687,0.921,2.239,-0.6198,6.221221411299771e-05,0.7808,1.004428273086451e-06,1.2243,0.003096733590875772,0.0584,1.2329596697027476e-118,-0.4274,5.676318526046176e-07,1.0,1.0,False,False
High Cholesterol,"Glycohemoglobin (HbA1c, %)",Total Cholesterol (mg/dL),TwoSided-TwoSided,OR,5410,219,682,861,3648,0.29,0.3842,0.4135,0.4201,47.6,49.1,49.1,52.4,1.528,1.726,1.776,0.4172,1.5741766153260335e-05,0.5632,1.4231342426830356e-10,-0.5812,0.0031682566451486246,0.0544,2.2854725332928765e-180,-0.0361,0.5768317016217503,1.0,1.0,False,False
Thyroid Problem,Potassium (mmol/L),Platelet Count (10^3/uL),High-Low,AND,4898,70,411,416,4001,0.122,0.1314,0.0986,0.2429,49.6,59.0,59.5,66.5,1.096,0.795,2.353,-0.0316,0.8465195927081731,-0.3452,0.05397871302101192,1.1051,0.003192621613805114,0.0398,2.8930524912129136e-42,1.1929,3.379837569681229e-31,1.0,1.0,False,False
Arthritis,HDL Cholesterol (mg/dL),Creatinine Kidney (mg/dL),High-Low,XNOR,4898,55,414,432,3997,0.3205,0.3068,0.2245,0.3273,51.7,55.6,46.4,47.1,0.94,0.616,1.046,-0.5127,5.095084723281666e-05,-0.4854,0.0003113568658848856,1.069,0.003451179604600428,0.0637,1.789035913878933e-164,0.6156,5.190124427326592e-17,1.0,1.0,False,False
Heart Attack,Systolic BP (mmHg),Calcium (mg/dL),Low-High,AND,4671,30,403,406,3832,0.0504,0.0298,0.0419,0.2,52.3,38.6,57.3,48.7,0.601,0.845,4.99,0.55,0.08797313753695243,-0.338,0.20387493404625012,1.8565,0.00363149136784505,0.0668,2.0279997536801986e-34,-1.0407,1.860450933006088e-11,1.0,1.0,False,False
High Cholesterol,"Glycohemoglobin (HbA1c, %)",Fasting Glucose (mg/dL),TwoSided-TwoSided,AND,2634,239,203,258,1934,0.3185,0.2414,0.2984,0.5565,48.6,42.5,44.4,56.8,0.685,0.913,2.681,-0.1671,0.38174603297358534,0.0905,0.5747808927812849,0.8167,0.0038308683914627115,0.0533,5.214872807021735e-84,0.0424,0.6460503703806895,1.0,1.0,False,False
Diabetes,LDL Cholesterol (mg/dL),Albumin (g/dL),Low-Low,OR,2796,25,254,184,2333,0.1204,0.2638,0.2554,0.28,45.4,44.8,50.1,61.2,2.625,2.519,2.956,1.0012,1.8679719162771862e-08,0.9063,5.498791650812466e-06,-1.5602,0.004031609648233878,0.0568,1.1777650252753112e-56,-0.2958,0.012782597667830672,1.0,1.0,False,False
Thyroid Problem,Total Cholesterol (mg/dL),Platelet Count (10^3/uL),Low-Low,AND,4921,67,414,418,4022,0.1233,0.1208,0.0981,0.2537,50.4,51.5,59.8,65.1,0.984,0.781,2.461,0.1236,0.45821184274052285,-0.3464,0.05275812758459782,1.0843,0.004084550935788098,0.0397,1.9006988627032474e-43,1.2053,6.297861761275789e-32,1.0,1.0,False,False
Thyroid Problem,"Glycohemoglobin (HbA1c, %)",Platelet Count (10^3/uL),High-Low,AND,5002,62,420,431,4089,0.1225,0.1262,0.1021,0.2258,49.5,61.0,59.8,65.1,1.042,0.822,2.139,-0.238,0.13770034046073834,-0.3237,0.06294882158035196,1.123,0.004179336411794355,0.0407,3.750045987482026e-45,1.1875,4.716805729959218e-32,1.0,1.0,False,False
Heart Attack,Waist Circumference (cm),WBC Count (10^3/uL),Low-High,AND,4753,30,446,441,3836,0.0498,0.0045,0.0544,0.1,52.8,40.3,48.4,43.3,0.107,1.117,2.423,-1.6815,0.019204071705758833,0.3972,0.08738263651915398,2.8487,0.0045832862050294715,0.0647,5.775715391829173e-32,-1.0049,1.4957585140068195e-10,1.0,1.0,False,False
High Cholesterol,Creatinine Kidney (mg/dL),Hemoglobin (g/dL),High-Low,XNOR,5385,97,422,392,4474,0.3185,0.4194,0.2551,0.6186,46.7,61.2,46.3,70.4,1.547,0.735,3.451,-0.3042,0.009441711272259432,-0.325,0.01574628671034933,0.7835,0.004600931898153468,0.0553,8.066125857851072e-175,-0.0745,0.26602519844370864,1.0,1.0,False,False
Diabetes,HDL Cholesterol (mg/dL),Calcium (mg/dL),High-High,AND,5891,40,522,373,4956,0.1404,0.0709,0.1501,0.25,45.0,50.6,44.0,56.6,0.472,1.089,2.106,-1.0329,1.852246853335258e-08,-0.005,0.9757921767023692,1.2953,0.004744955809261389,0.0569,1.0995683202987353e-114,-0.2624,0.0015675881515387598,1.0,1.0,False,False
