outcome_var,outcome_name,marker1_var,marker1_name,marker2_var,marker2_name,combination_type,n_samples,n_cases,beta_comp,p_comp,aic_comp,beta_A,p_A,aic_A,beta_B,p_B,aic_B,p_gain,aic_gain
diabetes_binary,Diabetes,LBXSKSI,Potassium (mmol/L),LBDLDL,LDL Cholesterol (mg/dL),Difference,2796,402.0,0.37381952246604355,6.73576902329187e-10,2265.3133179864726,0.1908244136208608,0.0003420063632732248,2293.811160374986,-0.37168937683474707,8.251707420502965e-10,2265.7566424716897,1.2250579543284628,0.4433244852170901
diabetes_binary,Diabetes,LBDLDL,LDL Cholesterol (mg/dL),LBXSKSI,Potassium (mmol/L),Difference,2796,402.0,-0.37381952246604355,6.73576902329187e-10,2265.3133179864726,-0.37168937683474707,8.251707420502965e-10,2265.7566424716897,0.1908244136208608,0.0003420063632732248,2293.811160374986,1.2250579543284628,0.4433244852170901
liver_condition_binary,Liver Condition,diastolic_bp,Diastolic BP (mmHg),LBXPLTSI,Platelet Count (10^3/uL),Difference,4775,261.0,0.29980365390333225,1.6552705093370145e-05,2009.1017819767203,0.032927091554436384,0.6079914535262229,2028.4623009432892,-0.2969059112529878,2.093755575626431e-05,2009.5450305365662,1.2649023611645465,0.44324855984586975
liver_condition_binary,Liver Condition,LBXPLTSI,Platelet Count (10^3/uL),diastolic_bp,Diastolic BP (mmHg),Difference,4775,261.0,-0.29980365390333225,1.6552705093370145e-05,2009.1017819767203,-0.2969059112529878,2.093755575626431e-05,2009.5450305365662,0.032927091554436384,0.6079914535262229,2028.4623009432892,1.2649023611645465,0.44324855984586975
stroke_binary,Stroke,LBXSUA,Uric Acid (mg/dL),LBXTC,Total Cholesterol (mg/dL),Difference,4902,238.0,0.2553906429550839,0.00033777907101093196,1894.7723578612688,0.09634215335680518,0.13709774371376696,1906.0403067211505,-0.25131965750917806,0.00041832031670006593,1895.1916578960538,1.2384435644520062,0.4193000347850102
stroke_binary,Stroke,LBXTC,Total Cholesterol (mg/dL),LBXSUA,Uric Acid (mg/dL),Difference,4902,238.0,-0.2553906429550839,0.00033777907101093196,1894.7723578612688,-0.25131965750917806,0.00041832031670006593,1895.1916578960538,0.09634215335680518,0.13709774371376696,1906.0403067211505,1.2384435644520062,0.4193000347850102
depression_binary,Depression,LBXGH,"Glycohemoglobin (HbA1c, %)",LBXSAL,Albumin (g/dL),Ratio,790,410.0,0.2270897943287198,0.0038584306780075814,1088.8954342464413,0.2210666891541065,0.004681290596469293,1089.3120537674617,-0.12372698763196899,0.08581557740926647,1095.0516937070483,1.213262848844707,0.41661952102049327
liver_condition_binary,Liver Condition,LBXSUA,Uric Acid (mg/dL),LBXSNASI,Sodium (mmol/L),Ratio,4899,270.0,0.2161907764860179,0.00027154132037311766,2081.1390627262253,0.212682519739387,0.0003411692942585892,2081.5543199040458,-0.01880153179918784,0.763452504776321,2093.864601287865,1.2564176007901766,0.41525717782042193
heart_attack_binary,Heart Attack,LBXTC,Total Cholesterol (mg/dL),LBXHGB,Hemoglobin (g/dL),Difference,4924,243.0,-0.5039355490620687,1.8165567765759738e-11,1890.9431249712575,-0.5017517954648616,2.187868134808501e-11,1891.3451147298201,0.0030882588216243827,0.9625897988998536,1940.0875439558513,1.2044039377246505,0.4019897585626495
heart_attack_binary,Heart Attack,LBXHGB,Hemoglobin (g/dL),LBXTC,Total Cholesterol (mg/dL),Difference,4924,243.0,0.5039355490620687,1.8165567765759738e-11,1890.9431249712575,0.0030882588216243827,0.9625897988998536,1940.0875439558513,-0.5017517954648616,2.187868134808501e-11,1891.3451147298201,1.2044039377246505,0.4019897585626495
