outcome_var,outcome_name,marker1_var,marker1_name,marker2_var,marker2_name,anomaly_type,gate,n_samples,n_cases,p00,p10,p01,p11,or10,or01,or11,beta1,p1,beta2,p2,beta3,p3,p3_fdr,p3_bonferroni,survives_fdr,survives_bonferroni
diabetes_binary,Diabetes,systolic_bp,Systolic BP (mmHg),BMXBMI,Body Mass Index (kg/m2),High-High,OR,6633,797.0,0.0978581979320531,0.2415630550621669,0.1903052064631956,0.2577319587628865,2.9410949617209847,2.1727230313031334,3.2397737983034878,1.0771231177789455,3.3575849228227234e-23,0.7732239998809072,4.2290120583644754e-11,-0.6868851665361889,0.0135063432794242,1.0,1.0,False,False
diabetes_binary,Diabetes,systolic_bp,Systolic BP (mmHg),BMXWAIST,Waist Circumference (cm),High-High,OR,6424,748.0,0.0859047619047619,0.2349624060150376,0.2701688555347092,0.2568807339449541,3.2738166574947853,3.94365238109454,3.717281862095673,1.184196054215274,1.7476139969220717e-25,1.3709294583131226,4.191823866032057e-36,-1.2526746546700636,2.367051856182707e-06,0.006391040011693309,0.03195520005846655,True,True
diabetes_binary,Diabetes,systolic_bp,Systolic BP (mmHg),BMXWAIST,Waist Circumference (cm),TwoSided-TwoSided,XOR,6424,748.0,0.1023419203747072,0.1582568807339449,0.1527472527472527,0.0913978494623656,1.6522485655936985,1.5843666327191928,0.8930542308503904,0.5002145268276544,2.185468359368464e-06,0.4582554298523278,1.2930609215704256e-05,-1.0836854572618737,2.020334210405516e-06,0.006391040011693309,0.027274511840474466,True,True
diabetes_binary,Diabetes,systolic_bp,Systolic BP (mmHg),LBXGH,"Glycohemoglobin (HbA1c, %)",High-High,OR,5737,776.0,0.0581887431231485,0.1150442477876106,0.8185840707964602,0.7383177570093458,2.1180760890991523,72.56363636363636,45.072022160664815,0.7438921428227285,3.3182149269553134e-06,4.2908967297233005,1.8871508496056434e-215,-1.2134325589049284,4.689440961123372e-05,0.052756210812637934,0.6330745297516552,False,False
diabetes_binary,Diabetes,systolic_bp,Systolic BP (mmHg),LBXSUA,Uric Acid (mg/dL),High-High,OR,5600,763.0,0.1177360120976452,0.2393162393162393,0.2065727699530516,0.2337662337662337,2.362855339427652,1.957621576833147,2.328085404647652,0.8576145250643763,2.965963805426112e-13,0.6683373036165,1.8034931834264196e-07,-0.6990711300691184,0.0275545528051161,1.0,1.0,False,False
diabetes_binary,Diabetes,systolic_bp,Systolic BP (mmHg),LBXSKSI,Potassium (mmol/L),High-High,OR,5599,762.0,0.1131993006993007,0.2334710743801653,0.2400835073068893,0.2666666666666666,2.391408854873062,2.480283025981086,2.902289447737098,0.8696560342311837,1.1360049892663305e-13,0.9062485388527876,8.141567804650935e-15,-0.7290352066361732,0.0282198257814583,1.0,1.0,False,False
diabetes_binary,Diabetes,systolic_bp,Systolic BP (mmHg),LBXHSCRP,hs-CRP Inflammation (mg/L),High-High,OR,6124,763.0,0.0995194233079695,0.2398452611218568,0.2265193370165746,0.2714285714285714,2.860241486977454,2.6550887612856195,3.4229887300580573,1.0490477144098542,2.1095087644451075e-20,0.974505404769082,6.034310123836465e-18,-0.808364012062743,0.0089353224748263,1.0,1.0,False,False
diabetes_binary,Diabetes,systolic_bp,Systolic BP (mmHg),LBXHGB,Hemoglobin (g/dL),TwoSided-TwoSided,AND,6297,780.0,0.1183762761302868,0.1165644171779141,0.1275510204081632,0.24,0.9855378090195904,1.091582370483598,2.364640801375496,-0.0174773042092479,0.8745714637797831,0.0851092845658529,0.4273739297761095,0.7875855259053215,0.0002328989094902,0.1497207275294143,1.0,False,False
diabetes_binary,Diabetes,diastolic_bp,Diastolic BP (mmHg),LBXSCR,Creatinine Kidney (mg/dL),Low-Low,XOR,5602,763.0,0.1323561112308687,0.1655629139072847,0.169047619047619,0.0333333333333333,1.3067093888018848,1.340160475676632,0.2620341741253051,0.2628791796222433,0.049151690223518,0.2878932165444086,0.0358897918195942,-2.0377829644476053,0.0009419445443891,0.3740073926250838,1.0,False,False
diabetes_binary,Diabetes,diastolic_bp,Diastolic BP (mmHg),LBXSCA,Calcium (mg/dL),Low-Low,AND,5600,763.0,0.1335661283282409,0.1312127236580517,0.1536842105263157,0.3,0.9853322448979592,1.183751552795031,2.8431793770139637,-0.0204893619002559,0.8828261898394955,0.1637964436982784,0.223060660013427,0.8791841489836825,0.0253314899079993,1.0,1.0,False,False
